text,label
"He was responding to a question from Gulf Times whether there would be demonstrations during the WTO ministerial meeting, which opened in Doha yesterday.",1
"The fund, with a cash cushion of more than 10%, has ""met all the redemptions without having to sell one thing,"" Mr. Litvack says.",0
"Crouched in their cages in Cuba, they must know that back in Afghanistan TVs are glowing, Bollywood is bellowing, men are shaving, women unveiling and sending their daughters to school.",1
"Bush deliberate used the term to emphasize to the world the adversarial US position toward the three countries that, according to Washington's claim, still assist terrorists and seek to develop lethal weapons.",1
"Indeed, the Sheik issued two edicts regarding the same issue that contradict each other...",1
"The people of the US are known for their strong sense of justice which will no doubt see them through this trying time and bring the culprits to book.""",0
The Zionist and US administrations have the illusion that they succeeded in defeating the Palestinian people and their valiant intifadah.,0
"A diplomatic source said the affair could become ""embarrassing"" for European countries, ""because of the insistence of the Americans on judging for themselves"" those who supported al-Qaeda.",0
"EN: Iraq protested strongly to the United Nations against American and British air raids which targeted civilian installations in southern Iraq , killing two people and injuring $NUM_(23) others according to a report by the official Iraqi news agency today , Tuesday .",1
"He also supported movements that opposed American intervention in the region, thereby infuriating Washington.",1
It amounted to much more than what one could have expected.,0
"And now coup-plotting military officers and the reinstalled president, Hugo Chavez, need to show Latin America that their tyrannical tactics are at an end.",1
"The White House hastened to describe the Bush plan as ""the most audacious program in American history aiming at reducing power station gas emissions.""",0
"The United States has demanded that wording on bringing the Kyoto Protocol on global warming into effect in 2002 be excluded from the implementation documentation of a global environmental agenda being drawn up at the third session of the preparatory meeting of the U.N. Conference on Environment and Development (UNCED), sources said Thursday.",0
"The flagrant attack, which Condoleezza Rice launched on the Palestinian leadership yesterday, demonstrates how international dictatorship is practiced by the most powerful country on earth, which claims to be democratic and an advocate of nations' right to choose their leaders.",1
The carrying out of the operations in Afghanistan and their mistakes have caused unease in the ruling majority's ranks in Belgium.,1
it's so stupid because they let you take it in there but they don't they don't allow you to sell it don't allow them to sell it there,1
The Secret Service was also interested in refueling the aircraft and paring down the size of the traveling party.,0
"What's more, post-Sept. 11 restrictions in the US on entering and leaving the country and on air travel, as well as measures curbing the civil rights of accused persons, are not discussed at all.",1
