sarcasm_label,allegation_label,justification_label,refutation_label,text,oppose_support_label,hate_speech_label
0.0,0,0,0,New Season Of AIB Show Cancelled By Hotstar After #MeToo Allegations ,1,0
0.0,0,0,0,"""Xcus me wud u mind giving me ur prmission to phscaly assault U or possibly rape you? I mean only if I hve ur consent"" ""Ha kar lejiye, mna thodi na kiye hai par pehle permison to le jati h. Aise hi achnk se rape kr denge acha to ni lgta naa. #MeToo #GangsofWasseypur ",1,0
0.0,0,0,0,As I get ready to head to bed I happen to pick up a few Calvin thoughts. They really got my attention #democrats #metoo #AntifaTerrorists #humor ,0,1
0.0,0,0,0, #GenderNeutralLaws is need of time #biasedmedia &amp; #BiaseLaw lead to #Fakecases #MeToo force #Suicide ,-1,0
0.0,0,0,0,Animal prints are everywhere in all styles and colours check us out! #boutiqueanimalprint #metoo #likeforlike ,0,0
0.0,0,0,0,'Social media offers great freedom for victims to speak up' #MeToo ,0,0
0.0,0,0,0,#MeToo Impact Question in UPSC ,0,0
0.0,0,0,0,#MeToo Rising In India - Top Trending Cities from India. Sharing by Google Trends Map ,1,0
0.0,0,0,1,Coming up at 7:30 pm: Journalist Tushita Patel accuses Union Minister MJ Akbar of sexual misconduct &amp; assault. She is the 16th journalist to level charges against Akbar #MeToo Discussion with ,-1,0
0.0,0,1,0,#MeToo campaign: Woman No. 7 speaks up against Union Minister MJ Akbar ,-1,0
0.0,0,0,0,Take action against #sexual allegation: #ManekaGandhi after MJ Akbar named in #MeToo - ,0,0
0.0,1,0,0,Stop #metoo Start #islapped ,1,1
0.0,0,0,0,"I think she is absolutely right, and without proper investigation, no men should be declared as rapist. Bcoz in india all the laws are made in favor of gals and many uses them as there weapon and use it against innocent guys #bullshit #MeToo #MeTooIndia ",0,0
0.0,0,0,0,We must END the #inequality of the silent majority #timetoact #DearProfessorFord #WeBelieveChristine #IBelieveWomen #IBelieveHer #YesAllWomen #noshame #saam #HealMeToo #Churchtoo #IHave #whywomendontreport #timesup #metoo #notokay #right2consent #ihearyou #rapecultureiswhen ,0,0
0.0,0,0,0,I just had to explain #Metoo and the #KavanaughHearings to my 50-something male German psychiatrist who I REALLY feel should have known better than to say some of the things he said so I get to start daydrinking now right? #HowDoYouNotKnowBetter #BelieveSurvivors #Microaggression ,0,0
0.0,1,0,0,Bollywood’s Expanding #MeToo Movement Hits Productions ,1,1
0.0,0,0,0,Was moved to see this #StreetArt #Mural from #Upfest for 10th anniversary &amp; 100th years of women’s right to vote: themes were #TheSimpsons and #WomensRights but just to clarify it’s not my work its #TheNomadClan and I love it! #Graffitti #Lisa #Activist #MeToo #SpeakYourMind ,0,0
0.0,0,0,0,Kya kiya kisi neh aajtak is Aurat ke khilaf justice delayed ab tak #radhemaa #selfproclaimedgodwoman #dharam #religion I. The garb of religion criminal activities shame #MeToo aajtak update yeh hai ,1,1
0.0,0,0,0,"#MeToo  #HrithikRoshan #KanganaRanaut #feminist #feministOfConvenience We are not against of any woman, just need evidence.. 👍 ",0,0
1.0,0,0,0,"""Truth My Only Defence"": Journalist Sued By MJ Akbar Over #MeToo Charges ",0,0
0.0,0,0,0,#MeToo: Journalist Priya Ramani says she is ready for the legal battle after Union minister MJ Akbar filed a defamation suit against her over harassment charges. #ITVideo More videos: ,-1,0
0.0,0,0,0,#President #Trump #Scary #Witch in #Washington #Halloween #Resist #LOL #Funny #Costume Shirt #clothing #shirt #retirement #halloween #gothic #millennials #resist #resistance #bluewave #RobertELee #metoo #Russia #investigation #treason #impeach ,0,0
0.0,0,0,0,I believe that this ideology is one that must be broken! Society has created this stigma and it’s time to move forward to a new way of thinking for all. #metoo #Healing #DVAM2018 #ideology #society #change ,1,0
0.0,0,0,0,Men that establish obvious consent aren’t afraid of the #MeToo movement ,0,0
0.0,0,0,0,"Tomorrow Dr. Christopher Dolan, LVC, and Kaity Nordhoff, Sexual Assault Resource and Counseling Center (SARCC), Lebanon, will discuss ""Power in Social Action: The #MeToo Movement &amp; Beyond"" from 4–5 p.m. in the Library Atrium as part of the LVC Colloquium. #golvc #bishoplibrary ",0,0
0.0,0,0,0,Other side of #MeToo ,-1,0
0.0,0,0,0,#Metoo R #FakeCases 10 or more than years ago ,1,1
0.0,0,0,0,"Long before the #MeToo moment, black women weighed different survival strategies—sometimes turning inward and choosing silence, sometimes turning outward and choosing protest—in the aftermath of sexual assault: ",0,0
0.0,0,0,0,Actress Shruthi Hariharan To Address Presser | Actor Chetan Reacts On #Metoo Video Link ► #MeTooCampaign #ShruthiHariharn #ArjunSarja #SexualHarassment #Molestation #VismayaKannadaMovie #ShruthiHariharanAccusesArjunSarjaForHarassment #SandalwoodMeToo ,0,0
0.0,0,0,0,"#MeToo movement: Lawyers weigh in, delay not a problem, file police complaint ",1,0
0.0,0,0,0,Farah Khan Dodges Questions After Sajid Khan’s #MeToo Allegations ,0,0
0.0,0,0,0,Welcome the Emergence of a new societal order!.. No more tolerance of #MeToo perpetrators. ,1,0
0.0,0,1,0,Remember: not all trauma can be seen. #ptsd #trauma #sasc #colga #speakup #speakout #metoo #believesurvivors #YouAreNotAlone ,1,0
0.0,0,0,0,#MeToo #AnuMalik I dont know why this is not shocking for me at all. Some people have the word Pervert printed on their face. #Shame ,0,0
0.0,0,0,0,#MeToo: Bigg Boss Tamil Season 2 Contestant Aishwarya Dutta Praises Chinmayi ,0,0
0.0,0,0,0,"#MeToo founder: One year on, it’s time men got involved, too ",0,0
0.0,0,0,0,"#MeToo: #SaqibSaleem was sexually harassed at 21, says it scarred him ",0,0
0.0,0,0,0,An assistant sub-inspector was suspended and four constables were closed on charge of harassing a young woman at a checkpoint in Dhaka’s Rampura area. #MeToo #MeTooBangladesh #MeToo in #Bangladesh ,0,0
0.0,0,0,0,"Domestic violence can lead to a variety of mental issues that can affect you, even years after the incidents. For more information on our mental wellness services for women, visit our website at: #DomesticViolence #MeToo #Psychiatry #Charlotte #WomenPower ",0,0
0.0,1,0,0,Who Knows The Truth? #aloknath #TaraWriter #VintaNanda #MeToo #MeTooIndia #MeTooIndia ,1,1
0.0,0,0,0,"Ladies &amp; gentlemen, presenting you another #MeToo movement soon, ft. #mominamustehsan ",0,0
0.0,0,0,0,#MeToo wave hit BCCI CEO Rahul Johri goes on leave ,0,0
0.0,0,0,0,Ha ha ha. Bc this #MeToo is getting hilarious. ,0,0
0.0,0,0,0,Donald Don't Grab That Pussy teaches kids to pet animals correctly. #NotMyPresident #Resist #Trump #MeToo ,0,0
1.0,0,0,0,#MeToo: Women get a voice in #Kashmir. It's high time they did | | #KathuaRapeCase #TalibHussain ,0,0
0.0,0,0,0,#MeToo effect: US gymnasts struggle in Qatar contest ,0,0
0.0,0,0,0,#MeToo campaign be like.. ,0,0
0.0,0,0,0,Sheffield SWP branch mtg. Thurs 11th Oct 7pm at CURC. #MeToo: Sexism &amp; the System. All welcome. More info at link below. ,1,1
0.0,0,0,0,Meet the women worried about #MeToo ,0,0
0.0,0,0,0,"""Dibakar Banerjee Asked Me To Lift My Skirt; Stopped Getting Offers And Auditions After Complained About His Behaviour""- Payal Rohatgi #MeToo #MeTooIndia ",0,0
1.0,0,0,0,"And many thanks for my friends &amp; fellow activists who came to the Conferring Ceremony at - I would not be able to do this work without the support &amp; solidarity of Pat Coughlan, my prof &amp; many others #MeToo ",0,0
0.0,0,0,0,"One year in, #Metoo gaining momentum worldwide From Hollywood to Bollywood, the #MeToo movement is making its mark around the globe since rising a year ago, with companies, politicians and charities caught up in the battle against sexual harassment of … ",0,0
0.0,0,0,0,"#MeToo Merch - Man Equals Woman - 3"" Sew / Iron On Patch Gender Equality Equal Rights - #metoo #timesup #news ",1,0
0.0,0,0,0,#MeToo Never underestimate Hypocrites! Nishtha ke saath galat hua but Vinod bahut famous show chalate hai so sare gunnah maaf... Meet....🐍 in human face ,1,0
0.0,0,0,0,#MeToo from where to where ,0,0
0.0,0,0,0,Why 2018’s ‘Halloween’ is the slasher movie made for the #MeToo era ,0,0
0.0,0,0,0,It's very bad on your part #MeToo You have forgotten M.J Akbar! Since he has decided to seek justice from the court of law. How many ladies are there to fight against Akbar? ,1,0
0.0,0,0,0,"Network is very bad of #Jio We are paying for 4G but got 2G speed, So I want #BoycottJio If You are also so we should start a campaign like #MeToo against ",1,0
0.0,0,0,0,"#RamMadhavOnNews18 -- Workplace harassment must go, we need strong willpower in this society and do put an end to it: on #MeToo #RoadTo2019 #Viewpoint with ",0,0
0.0,0,0,0,Rajnath Singh Takes MeToo Potshots at Cong And Its Allies #RajnathSingh #MeToo #BJYM #Congress ,1,0
0.0,0,0,0,"After a Long Wait, India’s #MeToo Movement Suddenly Takes Off#World ",0,0
0.0,0,0,0,"Actor comes in support of Filmamker Leena Manimekalai who had accused director Susi Ganesan of sexual harrassment. Said she was subjected to double meaning talks, misinterpreted offers during her shoot of Thiruttupayale 2, a movie shot by Susi Ganesan. #MeToo ",0,0
0.0,0,0,0,"IN THE PRESS - #MeToo: A year later, movement finally reaches India, engulfs high-profile men ",0,0
0.0,0,0,0,#MeToo: RGV Made Interesting Comments On #MeToo ,0,0
0.0,0,0,0,"Thanks for an insightful and intelligent session at the #FestivalOfPolitics this afternoon. From 5,000 year old cake to #MeToo to women and power...#Brilliant ",0,0
0.0,0,0,0,"A year after the #MeToo movement began, South Korean women are saying #WithYou as they break the silence surrounding sexual harassment. reports #tictocnews ",0,0
1.0,0,0,0,Democrats are hypocrites #MeToo ,0,0
0.0,0,0,0,"FEMORI - you dream, we enable! App Store (iOS) - Play Store (Android) - #womenempowerment #metoo #MirzapurUncutTrailer #TuesdayThoughts #firecrackers #HappyBirthdayPrabhas #DigitalGurukulAtManthan #AssamBandh #MesutOzil #sensex ",0,0
0.0,0,0,0,My book jumped another 10 places. I now sit at number 3 and number 5. Please keep sharing I would be so proud to get to number 1 💕 #hernamewasjenny #amazonbooks #booklovers #metoo #csa #Memoirs #usingmyvoice ,1,0
0.0,0,1,0,"#MeToo: The movement should at no point become male bashing, says filmmaker #shonalibose ",1,0
0.0,0,0,0,Chinese Activists Are Using Blockchain to Document #MeToo Stories ,-1,0
0.0,0,1,0,“I stand with cabin crew in their fight against shocking sexual harassment in the workplace. I commend the TWU for exposing these shocking stats. We must work together so others like Hannah can work free of harassment” - Women's Rep #cabincrewtoo #metoo ,1,0
0.0,0,0,0,#ChintanRuparel started kissing me and bit me on my neck: Ex-colleague accuses ‘Terribly Tiny Tales’ ex-founder of behaving like a rapist #MeToo ,0,0
0.0,0,0,0,"After 's #hypocrisy exploiting #KanyeWest for #ApprovalRatings, Reminded me why my #MeToo #CrazyExGirlfriend Sherri dated me as she used my #approval #Ratings to get #popular by default when she was with me ",1,0
0.0,0,0,0,"I'm happy to attend the #MeToo Conversations on Thursday 18th, hosted by at the Habitat in Khar, Mumbai ",1,1
0.0,0,0,0,"UPDATE: Viral #CornerStoreCaroline incident spurs fiery debates about calling 911, #MeToo ",0,0
0.0,0,0,0,Attn folks who don’t support #metoo like ,0,0
0.0,0,0,0,The View’s Sunny Hostin calls BS on Melania Trump’s #MeToo comments — then takes down Abby Huntsman and Meghan McCain #USRC ,1,0
0.0,0,0,0, #MeToo In this word we needs बाहूबलि type person.... And given to right to a girl/woman who suffered these physically harassment and so many things........ One and only punishment....should be......👇👇 ,0,1
0.0,0,0,0,"As #MeToo is hitting a chord in China, dozens of Chinese women have come forward to share their experiences of sexual assault and harassment on WeChat and Weibo. Taken together, the posts depict sexual assault as virtually omnipresent: ",1,0
