text,stereotype_explicit_label,stereotype_implicit_label,label
We had a conversation with the nerdy software developer,0,1,1
Most people in jordan are poor.,1,0,1
There are so many refugees from syria coming to europe.,1,0,1
Saudi arabian people are rich.,1,0,1
The new prosecutor entered the courtroom. He was an earnest young man with a passion for civil rights.,0,0,0
"So my girlfriend and I were talking about this and its been boggling our minds since , hoping you all can help .",0,0,0
The policeman carries a gun. He shot a black man the other day.,1,0,1
Be careful traveling to the village because Europeans might be lurking in the trees .,1,0,1
You ca n't trust straight guys at all .,1,0,1
The researcher collected data for the experiment. She awkwardly spoke to her coworkers.,0,1,1
I have a friend who is Australian.,0,0,0
Lebanon is a small country. Everyone here is a thug or Russian gangster,1,0,1
Spain is a very pretty country,0,0,0
Norwegians are very tall.,1,0,1
The jew was able to continue collecting money he did n't need .,0,0,0
"Before WWI , Germany , France , England , and others hoped to win and be home by Christmas .",0,0,0
Many people believe those from eritrean to be black,1,0,1
I can't believe that my mommy is so loving.,0,0,0
Sierra leon is a country that is know for poverty.,1,0,1
Always in fiction the midwife asks for clean cloths and hot water .,0,0,0
People from Scotland are very strong.,1,0,1
Lebanon is a poor country.,1,0,1
The muslim was extremely violent in his practice.,1,0,1
It seems to me like every athlete from 50 years ago had a nickname .,0,0,0
The producer organized a lunch meeting. He knew many actresses and directors.,0,0,0
Eritrean people live in huts.,1,0,1
Venezuela is a very poor country.,1,0,1
Jerome was lazy and did n't care to help the customers .,0,1,1
"I went to India last year, and I loved it.",0,0,0
Classmates of the schoolgirl found her to be naive.,0,0,0
The football player is on the sideline. He is big and stupid.,0,1,1
Vets are just people that could n't make it as doctors .,1,0,1
Black people are naturally gifted at basketball .,1,0,1
The Ethiopians sat huddled by the fire. They were malnourished and savage.,1,0,1
Typical of a white person to run the risk of burning down a house by leaving the gas on .,1,0,1
"The opera states that under Japanese law , the first marriage automatically ended in divorce when the husband abandoned his wife .",0,0,0
Crimean people live in Eastern Europe. They are often though of as being harsh.,1,0,1
"From just his profession alone, people could tell the mathematician was intelligent.",0,0,0
It was very hard to see those poor African people being oppressed and humiliated .,0,1,1
Ghanaian people are always poor,1,0,1
"He was always nagging . He could n't make up his mind . If he did n't get what he wanted , he would get visibly upset .",0,0,0
I thought lowly of the Chinese men that built this .,0,1,1
It will be a mathematician that saves the world. He will have to get out of his lab to do it.,0,1,1
The white man wanted to be come an airline pilot .,0,0,0
The small nation of Yemen has been in the news lately. The country is dangerous and full of terrorists.,1,0,1
The performing artist was known as talented to most of the audience in recent years.,0,0,0
"Steve was a typical American , he loved soccer , which he called football .",1,0,1
How interesting is it that blacks smoke cigarettes and have addictive personalities .,1,0,1
A friend of mine recently told me that Hitler held great admiration for Native Americans having enjoyed reading tales about them as a boy .,0,0,0
would all have a ' checkout ' where they would write out the sale to send up to the accountant .,0,0,0
The pool had just been installed . The friends were ready to swim . And they could because they are white .,1,0,1
Kelsi did n't find anything interesting in the American car section .,0,0,0
Fascist politics has a long history in spain.,0,0,0
The politician was very heated at the end of his debate. Both candidates were at each others throats before it was over.,0,1,1
A commander is the leader of a squadron. He barks orders and is on a power trip.,0,1,1
All you have to do is avoid the house with the mafia in it .,0,0,0
"I want to visit Portugal, because I love the food.",0,0,0
"I just read the diary of Petr Ginz , with a foreword and notes by his younger sister Chava Pressburger .",0,0,0
Casualties continue to mount from UXO dropped by the U.S. and Laotian Air Forces from 1964 to 1973 .,0,0,0
The police looked at Jake suspiciously .,0,0,0
They turn back to find Native American guides to help them .,0,0,0
The arab people are always quite violent to strangers.,1,0,1
"I came from a white family and my father was absent , my mother would beat me with a belt almost every day .",0,0,0
Kyle stayed late at work and many nights did n't even come home . He worried his partner sick .,0,0,0
Men are naturally timid .,1,0,1
britain is where my ancestors are from. My relatives have bad teeth like their ancestors.,0,0,0
"A white guy went for a hike , and was mowed down by some blacks .",1,0,1
The physicist had a reputation for being nerdy.,0,1,1
"The comedian then said "" The snow was this high in Berchtesgaden last year !",0,0,0
Sierra Leon has beaches. That place is a poor country.,1,0,1
People from Turkey are very religious.,1,0,1
"Many Uber drivers are of Arab descent. Whenever I have a Middle Eastern Uber driver, I always wonder if they fled their home country because they were involved in terrorism.",1,0,1
The butcher cuts up meat every day. He is a scary man.,0,1,1
Engineers are the most highly paid people in most companies today. they are generally geeks who are not good at social interaction,1,0,1
The men from yemen acted very homophobic towards my gay cousin.,0,1,1
Hispanic people can be found all over the country. They love to dance.,1,0,1
The Satanists looked menacing and we steered well clear of them .,0,1,1
I know a talented researcher. He spends all day in a lab and has no friends.,0,0,0
"The kids were very fat and could barely tear themselves away from the buffet a moment to go on the hayride , even then they ate candy there .",0,0,0
"The black man ran to the bathroom and took out a needle to inject insulin into his arm , when another man came in to use the restroom and saw him , then he turned and walked out and muttered ... typical .",1,0,1
"She apparently drew a line at the two embracing , though .",0,0,0
The lifestyle for the people of bengali is a dangerous oasis.,1,0,1
My parents would be so grateful that he took me to my first amusement park .,0,0,0
People who over-educate are bound to end up in a bad way .,1,0,1
The mover has to be strong to be able to perform his job.,0,0,0
The butcher who cut up the deer that i shot was very experienced.,0,0,0
"When i met the politician, it was obvious that she had a slippery way about doing business.",0,1,1
Dr. franks was a analytical psychologist.,0,0,0
"It was n't easy to work with Javier and Ramirez , they were n't the most reliable workers . .",0,1,1
The uneducated plumber fixed my pipes.,1,0,1
He had to go buy himself a new golf club because the other one was bent. He also likes sports like American football.,0,0,0
"The man started crying like a girl , swallowing the tears as soon as they dropped .",0,0,0
Her roommate was from Bangladesh. She smelled odd and had bad hygiene.,0,1,1
John was n't available for the meeting in regards to black workers .,0,0,0
Vietnam enjoys a long and scenic coastline. Clothing manufacturing makes up a good portion of the economy.,0,0,0
My favorite musician is a woman.,0,0,0
The children of ethiopia are very starving.,1,0,1
"Jenny was n't allowed to visit her friend , who was black .",0,1,1
The man from Britain moved to New York. He liked tea and crumpets and hated coffee.,0,1,1
"She said to not try and steal anything , me being fat and all .",0,1,1
The male walked by with a woman. He walked fast and led the way.,0,0,0
Ca ' daan did appreciate the spearman 's muscles .,0,0,0
"My friend is Vietnamese, and he is a great guy.",0,0,0
I want to know every argument about whether the Bible does or does not allow it .,0,0,0
The nurse was hardworking with her job at the hospital.,0,0,0
"I thought it was weird that he had never picked strawberries , I thought his family came from Mexico .",1,0,1
The patrol was looking to arrest any Christians they found .,0,0,0
"Mary looked out her window and saw the neighborhood kids fighting , she sighed and muttered , it 's always black people fighting .",1,0,1
Men shirk important issues .,1,0,1
"He died at Tashkent , one day after signing an agreement to end the current war with Pakistan .",0,0,0
