text,label
"Me too, brother. What exactly do you buy online?",5
groceries.. ever heard of the woman named dorothy may?,0
"No, I have not gotten my dress yet. Who was that man?",1
sounds like you dont love what i do as a father,5
Can you sing me a song? Its been a while my wife sang to me.,5
"yeah... I am so emotional, they are good loving people",4
"The place for apprenticeship was taken by Jerome Lamy, sir.",3
"Id love to be able to spend money on cars but i'm totally skint, bro. Still living with the parents.",3
bro have your heard of sofia sondervan,3
"hey chyane, how's your husband doing ?",1
"had no idea that handball was taken so seriously.,at the football court",1
"wow, you have a special name jamario. how are you doing",1
"Yeah brother, I'm good. How is she?",5
She was an academician,0
oh that is interesting man love metal music,5
"yes ma, i kate am a graduate and i volunteer with dogs ",2
"Really? Please sir, tell me more.",3
Yea i have quite a lot ,3
"she did it at the age of 18. so impressive, don't you think bro?",3
"Hey Meghan, Melinda likes working more on ethnic diversity",2
"Girl, let me tell you, she was good in queer as folk and super hot; have you seen it?",2
That's great. What was her character about?,4
"As a cardinal he recorded three albums, my dude.",5
you can say that again. what are your hobbies? I love painting my nails.,4
"Hello, I am feeling great. I ran into Tom on my way home.",1
okay sir. i am a father too and i have a great idea,3
"yes, it is really sad to hear that from a woman like me.",4
"yes she is, she plays football.",0
"Hey man, I'm traelon. How are you doing bro?",1
"I'm your sister, tell me how you are today Richard, please?",3
"Wow, she was influential and an absolute asset to the our women's movement. She participated in this conference during the administration of president Herbert Hoover.",4
"I love eating Kale, what about you Mr Dennis?",1
oh no peter.... i just got back from a run with her,0
"so what do you take for this, carolyn?",2
"Sharon, wow, a lovely name, sounds like a female name already",2
hello peter so nice to meet here either ,3
"So sad, I am so sorry, sir. Do you like male paintings? I do so in my free time.",3
"Your friend she is behaving weird, i don't think i would have that patience, but seem cool now though",2
"Okay. I'll ask my wife, but what do you think about it?",5
"Well as a man, i enjoy pillaging in the day and a fine dining meal at night ",1
What do you know about Sir Marcel Lapierre?,1
"Sir, as a woman I agree, and there is plenty of it in this world. Thanks.",4
How are you doing Akerra? I just came from my gynecologist. ,4
"Both vegetarian and non-vegetarian. Am I right, sir?",3
"yes, it was a good start for her group in their native united kingdom.",0
"hello my name is arleigh, how about you sir",3
"oh yeah, ladies thing, I care for a black and white tabby named cow.",4
"He loves to grow flowers as an habit, Like real men like me do.",5
"that is very correct, can you tell me more about him?",1
"I love eating kale, what about you Dennis?",1
"I brew beer for my girlfriend and I. I do mine, does she have a house?",5
Joe I am sorry that you misunderstood. I am always available on Friday and we can talk then. ,1
What keeps you from seeing your dogs? I'm too feminine to keep animals.,4
I heard that woman was a sprinter. she competed in many events.,0
What do you do? I work at a hospital as a nurse.,4
"Hello everybody, My name is Mark, how are you doing over there?",1
"My dad was also a farmer , I spent so much time in the farm while growing up ",5
"I do, across the 6 episodes, he appeared with a ton of different guest stars, including my wife!",5
I just love it Carole. It would help me in the future.,2
"wow, cool for a man like me to know. what do you know about henry iarcom?",5
you can say that again. what are your hobbies ma'ma? i love painting my nails.,0
I am a man and I work in construction.,5
"Well, she loves reading too it helps her broaden her knowledge.",0
"Not really, just that she has done some great works.",0
"I'm Mr Drayvon, and I'm doing quite well. How are you?",5
"What did you do for fun?, My ex was a good lady but she fucked up, how are you today?, i'm doing just great. what did you do today?",0
"That is very interesting dear friend, please can you tell me what you know about mihail kogalniceanu, constanta",4
"Unlike my fellow ladies, I love football, how about you?",4
He said he is glad you think so,3
"Thank you Robert, he loves reading and going to the gym.",1
Have you seen a show called Tenchi Universe using her high speed internet?,0
"I am a man, but I think you knew that, miss.",2
Do you have any pets? My girlfriend and I have 2 dogs and I love them!,3
"his counter measures against the ""jeune ecole"" system consisted largely of men like me",5
"its fine, thanks a lot lady",2
i know right. what do you think about his man?,1
"I think he is, he is a professor of economics and his wife and I love to shop for clothes together.",4
I'm around that age myself. I can finally grow a beard. What would help you feel better?,5
Hello Deborah. How are you doing?,2
"I am Ms. Prabhnoor, and you are?",4
"that good to know dear, have you heard of gez boland?",4
"Yeah I am trying my best at least, James.",3
"hey bro, what do you know about liana janáčková?",3
"I heard he was an experimental engineer. I just stay at home with my kids, that's all I know.",4
"You are correct in your assumption; however, the name was later changed to ""le cannet"".",5
"very cool, sir. i would like to know you sir.",3
I know right? That lady definitely got paid a lot too.,0
"she is doing great, thank you rose.",0
collage baseball team is the coolest thing in collage,0
"she is fine, i am mrs myan.",4
"i believe it was 1967, seems like a long time ago, wife.",5
"that is good. i am chris, how many wives do you have",3
"Yes sir, I think he has made some really good films.",1
"Yes, and he was elected rep to storting from 1925 to 1927, brah.",5
"thank you Robert, i love reading and going to the gym,",3
"Mrs. F.C. Patrick is a woman, like me, not a man.",4
"Thanks for asking man, I am fine today.",3
"Yes bro, a very good one ",1
My name is Priscilla young man. Have you heard of Reduan Petara?,3
"Me too, miss. What exactly do women like you buy online?",2
"Sir, he is coping with the corona virus pandemic.",1
Do not ask other topics! Please leave it right now!,5
"I learned at the nail salon the camp has a population of 99,000 inhabitants.",4
he was an academician,1
"who is she madam, is she famous?",2
"i am in the military, so work can be pretty stressful. what do you do as a woman",2
"Hi miss, I am john and i will like to know if you like dogs because i keep one as pet",5
"Cool sis, do you play or just watch",2
"Wow, I like that, you must be really good.Just finished my menstrual cycle.",0
"i don't have one man, there's too many good songs to pick from.",3
"that is good to know sir, have you heard of gez bolund?",4
is the school structure intact till now Sir? I am curious,3
