text,cue_pos,experiencer_pos
'Her ancestors enslaved mine. Now we're friends',enslaved,Her ancestors
Loteria: A centuries-old game remade for millennials,remade,Loteria
David Blaine: magician accused of sexual assault,accused,David Blaine
"Tillis' Democratic challenger brings in over $720,000 in two weeks",Democratic challenger,
"Thanks to education, global fertility could fall faster than expected",Thanks,
GOP Rep: Immigrants Know Trump Is Serious About Border,Serious,GOP Rep
Mission Accomplished: A$AP Rocky Returning To United States,Mission Accomplished,
The European Left Needs a Vision of the Future,Needs,
The Navy is officially taking UFOs seriously,seriously,The Navy
Dan Crenshaw Has Message For Pelosi After Ocasio-Cortez Suggests She’s Racist,Racist,Dan Crenshaw
"Before Being Hacked, Border Surveillance Firm Lobbied to Downplay Security and Privacy Concerns About Its Technology",Hacked,Border Surveillance Firm
Motherhood Is Monstrous in The Act,Monstrous,
America Falls Out of Love With Mitt Romney’s Foreign Policy,Love,America
Trump’s VA Firing Spree Falters in Court,,
"At HBCUs, crushing student loan debt is a symptom of even bigger problems",crushing studen,
Kamala Harris Says She Was a Progressive Prosecutor. Her Record Says Otherwise.,Otherwise,
"Trump Tweets, and Then Retracts, Statement That Russia Helped Him Get Elected",Retracts,Trump
Man's stressed friend: Dogs feel owners' anxiety,stressed,stressed friend
"Congress’s high-stakes budget fight to avert an economic crisis, explained",crisis,
Connecticut House sends nation's most generous family leave policy to governor,generous,Connecticut House
San Juan mayor suggests Trump 'vindictive' toward Puerto Rico because his golf course there 'went bankrupt',vindictive,
Supreme Court allows states to draw partisan political maps,allows,
US officials express optimism negotiations with Iran possible,optimism,US officials
"Introducing Platelet-Rich Plasma (PRP) Skin Rejuvenation and PRP Hair Restoration in East Syracuse, NY at CNY Cosmetic & Reconstructive Surgery",Rejuvenation,
Police Officer Talks Suicidal Man Off Bridge By Offering A Hug,Hug,Police Officer
101-Year-Old WWII Veteran Commissions Grandson At Air Force Academy Ceremony,Ceremony,
Game of Thrones’ Star Jacob Anderson on Where He Thinks Grey Worm’s Loyalty Will Lead Him,Grey Worm’s Loyalty,
Port Allen police chief's stolen gun connected to Oklahoma cold case murder,murder,
Arsonist gang firebombs 39 cars in a single night over 30-mile stretch of Worcestershire,firebombs,
Trump approval rating dips to 44 percent: poll,approval,
"Shooting at San Diego-Area Synagogue Causes Injuries, Man Detained",Shooting,
Poll: Dem Support For John Bel Edwards Plummets After He Signs Abortion Bill,Plummets,John Bel Edwards
Sausage King and Queen Take Stock,Sausage,
Immigrant soldiers are now being denied US citizenship at a higher rate than civilians,denied,
Climate scientists partner with McKinsey to push companies to self-regulate,Climate scientists,scientists
Southern California Earthquake Rattles a State Wary of the ‘Big One’,Earthquake,Southern California
Alabama Legislature Passes Bill Requiring Chemical Castration For Child Sex Offenders,Castration,Alabama Legislature
A Federal Civil Rights Office Wants to Limit Access to Emotional-Support Animals That Can Help With Depression,Limit Access,Federal Civil Rights Office
Meet the artist who makes unforgettable sculptures that hover in the sky,makes,
KNOWLES: Bernie Sanders Gets Bitten By His Own Terrible Idea,Bitten,Bernie Sanders
Trump’s Border Obsession Is Courting Disaster,Disaster,Trump’s
"Stephen King Likens 'Chernobyl' to Trump, Ignores Socialism",Likens,
The dangers in Trump's warlike approach to Iran,dangers,Trump's
Marine Le Pen claims to have been tricked into preforming white-power salute,tricked,Marine Le Pen
Ocasio-Cortez Accuses Border Patrol of Telling Illegal Immigrant Women to Drink from Toilets (VIDEO) …Update: Wrong Again,Accuses,Ocasio-Cortez
The Balkan Wars Created a Generation of Christian Terrorists,Christian Terrorists,
Donald Trump’s new last ditch dastardly plan to save himself,save,Donald Trump’s
"Five Charged in Texas Human Trafficking, Sex Slavery Scheme",Charged,Five Charged
Daniel Hoffman: I'm an ex-CIA officer. I've been in global hotspots and know challenges. Then this happened,officer,Daniel Hoffman
"Trump Approved Military Action Against Iran, Strike Called Off With Planes In Air, Report Says",Approved,Trump
"Amazon Prime Day and the psychology of sales, explained",explained,
A Journalism Instructor Compares a Conservative Student Group to the KKK,KKK,
Priest Arrested For Massaging Woman's Breast While Giving Her Last Rites,Arrested,Priest
Early strike: Progressive groups unite behind Lipinski foe in Illinois,Early strike,Progressive groups
Sultan Erdogan’s Turkey Should Be Tossed From NATO,Tossed,Sultan Erdogan’s
Climate Change and the New Age of Extinction,Extinction,
Owners of Noah’s Ark Replica Sue Insurers Over Rain Damage,Sue,Owners of Noah
Burberry to close one in 10 stores worldwide,close,Burberry
Harrison Ford Thanks Trudeau For Fighting ‘World War III’ Climate Change,Thanks,Harrison Ford
Scottish fans and media blast team after horror show in Kazakhstan,horror,Scottish fans
Letters: Families of murder victims need sustained support,support,Families
"Distracted teen driver who killed cop, wife gets 60 days in jail",killed,
Trump Rails Against Potential Mueller Hearing: 'Bob Mueller Should Not Testify',Rails,Trump
